0,RootNode
1,tongue
2,body
3,root
4,root.x
5,c_tail_00.x
6,c_tail_01.x
7,c_tail_02.x
8,c_tail_03.x
9,c_thigh_b.l
10,thigh_stretch.l
11,leg_stretch.l
12,foot.l
13,toes_01.l
14,leg_twist.l
15,thigh_twist.l
16,c_thigh_b.r
17,thigh_stretch.r
18,leg_stretch.r
19,foot.r
20,toes_01.r
21,leg_twist.r
22,thigh_twist.r
23,spine_01.x
24,spine_02.x
25,spine_03.x
26,c_subneck_1.x
27,neck.x
28,head.x
29,c_skull_01.x
30,c_jawbone.x
31,c_lips_bot.l
32,c_lips_bot.r
33,c_lips_bot.x
34,c_lips_bot_01.l
35,c_lips_bot_01.r
36,tong_01.x
37,tong_02.x
38,tong_03.x
39,c_lips_smile.l
40,c_lips_corner_mini.l
41,c_lips_smile.r
42,c_lips_corner_mini.r
43,c_lips_top.l
44,c_lips_top.r
45,c_lips_top.x
46,c_lips_top_01.l
47,c_lips_top_01.r
48,c_skull_02.x
49,c_ear_01.l
50,c_ear_02.l
51,c_ear_01.r
52,c_ear_02.r
53,c_nose_01.x
54,c_nose_02.x
55,c_nose_03.x
56,c_skull_03.x
57,c_thigh_b_dupli_001.l
58,thigh_stretch_dupli_001.l
59,leg_stretch_dupli_001.l
60,foot_dupli_001.l
61,toes_01_dupli_001.l
62,leg_twist_dupli_001.l
63,thigh_twist_dupli_001.l
64,c_thigh_b_dupli_001.r
65,thigh_stretch_dupli_001.r
66,leg_stretch_dupli_001.r
67,foot_dupli_001.r
68,toes_01_dupli_001.r
69,leg_twist_dupli_001.r
70,thigh_twist_dupli_001.r


tongue
bigdog
0.039880,-1.022528,-1.347561,36,37,38,0,0.781854,0.129825,0.088321,0.000000
0.013293,-0.971472,-1.351115,36,37,0,0,0.980112,0.019888,0.000000,0.000000
0.013293,-1.022528,-1.347561,36,37,38,0,0.780667,0.200602,0.018731,0.000000
-0.013293,-1.022528,-1.347561,36,37,38,0,0.749485,0.226007,0.024508,0.000000
-0.039880,-0.971472,-1.351115,36,37,0,0,0.988459,0.011541,0.000000,0.000000
-0.039880,-1.022528,-1.347561,36,37,38,0,0.774633,0.148905,0.076462,0.000000
0.000000,-1.021913,-1.341087,37,36,0,0,0.701127,0.298873,0.000000,0.000000
0.013293,-0.971472,-1.351115,36,37,0,0,0.980112,0.019888,0.000000,0.000000
0.000000,-0.970857,-1.344642,36,37,0,0,0.973014,0.026986,0.000000,0.000000
0.013293,-1.128551,-1.326738,38,0,0,0,1.000000,0.000000,0.000000,0.000000
0.000000,-1.080310,-1.333795,37,38,36,0,0.536569,0.458495,0.004935,0.000000
0.000000,-1.128362,-1.324753,38,0,0,0,1.000000,0.000000,0.000000,0.000000
-0.029572,-1.120136,-1.327538,38,37,0,0,0.923453,0.076547,0.000000,0.000000
-0.013293,-1.080922,-1.340233,38,37,36,0,0.754959,0.219176,0.025865,0.000000
-0.039880,-1.078984,-1.340407,38,37,36,0,0.457766,0.455727,0.086507,0.000000
0.039880,-1.078984,-1.340407,38,37,36,0,0.546789,0.378376,0.074835,0.000000
0.013293,-1.022528,-1.347561,36,37,38,0,0.780667,0.200602,0.018731,0.000000
0.013293,-1.080922,-1.340233,38,37,36,0,0.747296,0.223106,0.029597,0.000000
